#{"t_start": 1768426875.1885633, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.122327
-500.0,500,2.488496
-500.0,500,2.901719
-500.0,500,3.266917
-500.0,500,4.990548
-500.0,500,5.34347
-500.0,500,5.723317
-500.0,500,6.086529
-500.0,500,7.791929
-396.0,397,8.094743
-421.0,422,8.415182
-500.0,500,8.780744
-320.0,321,9.068508
-269.0,270,10.586949
-259.0,260,10.777471
-341.0,342,11.033796
-331.0,332,11.274467
-353.0,354,11.544633
-260.0,261,11.743646
-234.0,235,13.223742
-260.0,261,13.434612
-312.0,313,13.644889
-173.0,174,13.775447
-269.0,270,13.97837
-289.0,290,14.208544
-196.0,197,14.375679
-302.0,303,14.635858
-300.0,301,16.37328
-140.0,141,16.498735
-200.0,201,16.638041
-299.0,300,16.878812
-260.0,261,17.095573
-280.0,281,17.28281
-231.0,232,17.452606
-201.0,202,17.59681
-264.0,265,17.78946
-151.0,152,19.215105
-177.0,178,19.358004
-289.0,290,19.560468
-286.0,287,19.764516
-192.0,193,19.899387
-248.0,249,20.074679
-247.0,248,20.252804
-177.0,178,20.377539
-194.0,195,20.511421
-199.0,200,22.055257
-230.0,231,22.236501
-171.0,172,22.352432
-167.0,168,22.48076
-244.0,245,22.653682
-212.0,213,22.842741
-212.0,213,22.987923
-217.0,218,23.154174
-242.0,243,23.332663
-271.0,272,23.534627
-178.0,179,25.142759
-404.0,405,25.440745
-184.0,185,25.573678
-208.0,209,25.728747
-182.0,183,25.866621
-230.0,231,26.032705
-188.0,189,26.172515
-206.0,207,26.328592
-126.0,127,26.422939
-235.0,236,27.918405
-210.0,211,28.08055
-129.0,130,28.172599
-158.0,159,28.285503
-148.0,149,28.397555
-146.0,147,28.521151
-165.0,166,28.65291
-324.0,325,28.918623
-193.0,194,29.055527
-149.0,150,29.166115
-212.0,213,29.323621
-157.0,158,30.880276
-162.0,163,31.022199
-174.0,175,31.146734
-108.0,109,31.21977
-153.0,154,31.327602
-140.0,141,31.428658
-153.0,154,31.540862
-164.0,165,31.68204
-157.0,158,31.795984
-177.0,178,31.937706
-159.0,160,32.049884
