#{"t_start": 1768427707.2001011, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.486642
-500.0,500,0.844213
-500.0,500,1.234045
-500.0,500,1.654038
-500.0,500,3.493068
-500.0,500,3.850346
-500.0,500,4.264364
-500.0,500,4.687089
-500.0,500,6.58451
-457.0,458,7.002198
-371.0,372,7.299265
-413.0,414,7.666824
-312.0,313,7.960101
-318.0,319,9.624394
-500.0,500,10.075119
-386.0,387,10.355934
-278.0,279,10.573026
-274.0,275,10.791275
-334.0,335,11.038452
-427.0,428,12.877149
-500.0,500,13.238943
-500.0,500,13.597253
-474.0,475,13.982331
-272.0,273,15.5968
-336.0,337,15.837106
-227.0,228,16.014373
-326.0,327,16.299308
-328.0,329,16.534477
-350.0,351,16.799984
-235.0,236,16.976195
-288.0,289,18.606348
-354.0,355,18.895498
-208.0,209,19.097207
-292.0,293,19.335497
-307.0,308,19.567668
-251.0,252,19.762191
-259.0,260,20.0157
-254.0,255,21.533142
-369.0,370,21.822617
-255.0,256,22.003353
-184.0,185,22.163196
-239.0,240,22.354245
-197.0,198,22.494354
-222.0,223,22.659432
-178.0,179,22.80412
-246.0,247,22.996004
-229.0,230,24.629709
-273.0,274,24.834414
-209.0,210,24.973183
-302.0,303,25.228127
-368.0,369,25.509109
-200.0,201,25.658208
-222.0,223,25.860299
-269.0,270,26.051235
-208.0,209,27.678419
-242.0,243,27.858336
-235.0,236,28.029306
-237.0,238,28.220298
-145.0,146,28.330231
-225.0,226,28.499374
-217.0,218,28.662219
-200.0,201,28.826574
-185.0,186,28.964444
-144.0,145,29.075274
-216.0,217,30.913997
-223.0,224,31.075039
-276.0,277,31.283269
-182.0,183,31.41546
-129.0,130,31.519452
-163.0,164,31.661476
-204.0,205,31.812675
-150.0,151,31.974183
-187.0,188,32.103618
-208.0,209,32.254736
-207.0,208,33.697154
-180.0,181,33.842395
-170.0,171,33.962267
-164.0,165,34.078472
-189.0,190,34.268458
-191.0,192,34.393342
-133.0,134,34.494374
-185.0,186,34.620095
-256.0,257,34.804272
-222.0,223,34.973838
-223.0,224,35.130388
-208.0,209,36.683393
-152.0,153,36.796294
-146.0,147,36.899342
-164.0,165,37.013209
-149.0,150,37.120447
-111.0,112,37.202305
-141.0,142,37.305446
-132.0,133,37.402301
-160.0,161,37.518262
-242.0,243,37.699428
-132.0,133,37.785171
-131.0,132,37.879253
-167.0,168,37.99332
-160.0,161,39.452349
-175.0,176,39.591768
-119.0,120,39.675261
-146.0,147,39.779437
-123.0,124,39.867151
-121.0,122,39.950559
-155.0,156,40.057347
-162.0,163,40.172213
-137.0,138,40.311317
-162.0,163,40.424566
-145.0,146,40.533317
-140.0,141,40.636261
-156.0,157,40.748551
-144.0,145,40.868179
-117.0,118,42.377364
-133.0,134,42.493579
-118.0,119,42.585249
-127.0,128,42.670194
-128.0,129,42.762442
-105.0,106,42.837126
-178.0,179,42.974336
-157.0,158,43.086499
-100.0,101,43.156304
-165.0,166,43.305494
-149.0,150,43.437551
-122.0,123,43.532321
-116.0,117,43.614483
-145.0,146,43.727579
-112.0,113,43.813486
-128.0,129,43.975361
-131.0,132,45.62017
-139.0,140,45.729168
-125.0,126,45.816201
-116.0,117,45.897425
-134.0,135,46.001275
-136.0,137,46.104136
-144.0,145,46.28247
-109.0,110,46.388408
-124.0,125,46.492639
-114.0,115,46.587821
-96.0,97,46.659621
-198.0,199,46.837608
-124.0,125,46.943452
-131.0,132,47.04783
-142.0,143,47.186424
-102.0,103,47.265116
-246.0,247,48.897504
-104.0,105,48.966708
-238.0,239,49.123359
-119.0,120,49.2116
-109.0,110,49.294622
-95.0,96,49.37234
-99.0,100,49.451676
-120.0,121,49.548278
-102.0,103,49.615479
-69.0,70,49.667321
-109.0,110,49.751429
-109.0,110,49.826494
-125.0,126,49.918362
-128.0,129,50.011589
-90.0,91,50.082411
-109.0,110,50.159614
-139.0,140,51.598335
-134.0,135,51.704768
-116.0,117,51.78239
-117.0,118,51.873381
-107.0,108,51.965633
-105.0,106,52.050857
-121.0,122,52.151541
-131.0,132,52.24557
-88.0,89,52.309481
-121.0,122,52.397713
-140.0,141,52.500619
-148.0,149,52.613489
-108.0,109,52.701353
-117.0,118,52.792268
-110.0,111,52.88852
-131.0,132,52.980357
-137.0,138,53.081378
-97.0,98,54.566354
-128.0,129,54.672443
-98.0,99,54.737436
-155.0,156,54.845412
-117.0,118,54.924647
-87.0,88,54.994312
-132.0,133,55.086446
-103.0,104,55.156642
-120.0,121,55.247499
-105.0,106,55.322427
-90.0,91,55.384716
-131.0,132,55.533767
-98.0,99,55.595957
-111.0,112,55.6738
-92.0,93,55.732551
-106.0,107,55.812384
-97.0,98,55.887559
-84.0,85,55.940699
-139.0,140,57.377681
-92.0,93,57.457605
-98.0,99,57.533097
-75.0,76,57.581734
-128.0,129,57.68139
-126.0,127,57.765372
-121.0,122,57.858323
-124.0,125,57.950546
-83.0,84,58.011831
-142.0,143,58.1158
-140.0,141,58.213836
-180.0,181,58.346767
-92.0,93,58.419351
-100.0,101,58.498422
-84.0,85,58.55467
-89.0,90,58.62047
-96.0,97,58.682369
-82.0,83,58.74264
-105.0,106,58.819547
-102.0,103,60.226959
-101.0,102,60.308686
-103.0,104,60.389563
-87.0,88,60.444629
-103.0,104,60.51755
-99.0,100,60.594305
-123.0,124,60.688331
-86.0,87,60.748341
-94.0,95,60.823497
-82.0,83,60.881412
-118.0,119,60.971583
-89.0,90,61.042447
-94.0,95,61.118478
-83.0,84,61.176639
-101.0,102,61.252405
-82.0,83,61.31156
-102.0,103,61.390812
-89.0,90,61.466508
-83.0,84,61.522625
-91.0,92,61.590559
