#{"t_start": 1768429730.5926514, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.597425
-500.0,500,1.01705
-500.0,500,1.451236
-500.0,500,1.846208
-500.0,500,4.190843
-500.0,500,4.578119
-500.0,500,4.96503
-500.0,500,5.367496
-500.0,500,7.789394
-500.0,500,8.190119
-500.0,500,8.564879
-500.0,500,8.98918
-385.0,386,11.251061
-500.0,500,11.628979
-428.0,429,11.957072
-317.0,318,12.20708
-346.0,347,12.533323
-252.0,253,14.952162
-380.0,381,15.320031
-175.0,176,15.478918
-259.0,260,15.683422
-226.0,227,15.868261
-213.0,214,16.031092
-352.0,353,16.290928
-500.0,500,18.657361
-229.0,230,18.861566
-199.0,200,19.034933
-196.0,197,19.211965
-168.0,169,19.349936
-233.0,234,19.5359
-176.0,177,19.670987
-374.0,375,19.966473
-198.0,199,20.135026
-256.0,257,22.485684
-150.0,151,22.614126
-162.0,163,22.741869
-248.0,249,22.967143
-264.0,265,23.225893
-218.0,219,23.443041
-190.0,191,23.617264
-176.0,177,23.795063
-182.0,183,23.976085
-143.0,144,24.154275
-197.0,198,24.302324
-198.0,199,26.417887
-271.0,272,26.629047
-143.0,144,26.736129
-188.0,189,26.876027
-159.0,160,27.005274
-215.0,216,27.183017
-186.0,187,27.331953
-153.0,154,27.458146
-169.0,170,27.596061
-204.0,205,27.753063
-147.0,148,27.868979
-192.0,193,30.22417
-134.0,135,30.357826
-159.0,160,30.507039
-149.0,150,30.640389
-128.0,129,30.815022
-185.0,186,30.993059
-195.0,196,31.167978
-137.0,138,31.283062
-147.0,148,31.415202
-137.0,138,31.56194
-103.0,104,31.658786
-125.0,126,31.774292
-171.0,172,31.934064
-146.0,147,34.104383
-125.0,126,34.21137
-118.0,119,34.292957
-160.0,161,34.420183
-125.0,126,34.509968
-151.0,152,34.641926
-450.0,451,35.004136
-104.0,105,35.103155
-145.0,146,35.215214
-121.0,122,35.312064
-111.0,112,35.396218
-132.0,133,35.506651
-131.0,132,35.618377
-119.0,120,37.647753
-83.0,84,37.730265
-133.0,134,37.841878
-151.0,152,37.955494
-145.0,146,38.070043
-175.0,176,38.207676
-107.0,108,38.297067
-128.0,129,38.392152
-97.0,98,38.464354
-220.0,221,38.634235
-106.0,107,38.723833
-103.0,104,38.805114
-105.0,106,38.886387
-96.0,97,38.966329
-130.0,131,39.075361
-110.0,111,39.200201
-184.0,185,41.259229
-181.0,182,41.408402
-105.0,106,41.484691
-183.0,184,41.645304
-134.0,135,41.754144
-104.0,105,41.831393
-298.0,299,42.059088
-88.0,89,42.131396
-107.0,108,42.218062
-126.0,127,42.318219
-104.0,105,42.393233
-109.0,110,42.48312
-101.0,102,42.563167
-113.0,114,42.656111
-120.0,121,42.745228
-104.0,105,42.819146
-94.0,95,44.777278
-96.0,97,44.86405
-74.0,75,44.91716
-71.0,72,44.970067
-77.0,78,45.025212
-88.0,89,45.11313
-83.0,84,45.181272
-134.0,135,45.286296
-87.0,88,45.397037
-100.0,101,45.473469
-72.0,73,45.523548
-89.0,90,45.592265
-139.0,140,45.70951
-121.0,122,45.791301
-126.0,127,45.88742
-101.0,102,45.967043
-96.0,97,46.039233
-82.0,83,46.099308
-82.0,83,46.168143
-122.0,123,46.26216
-86.0,87,46.326154
-83.0,84,48.271103
-103.0,104,48.361747
-117.0,118,48.453781
-99.0,100,48.526141
-80.0,81,48.59043
-72.0,73,48.646111
-125.0,126,48.74635
-95.0,96,48.818491
-97.0,98,48.897239
-111.0,112,48.979697
-86.0,87,49.052147
-103.0,104,49.133348
-110.0,111,49.222244
-133.0,134,49.310202
-84.0,85,49.378129
-96.0,97,49.456436
-166.0,167,49.581276
-83.0,84,49.644751
-76.0,77,49.704308
-131.0,132,51.742916
-90.0,91,51.818385
-73.0,74,51.886465
-339.0,340,52.151359
-88.0,89,52.221046
-89.0,90,52.291281
-89.0,90,52.35434
-82.0,83,52.42022
-67.0,68,52.465338
-75.0,76,52.530275
-93.0,94,52.600563
-97.0,98,52.672462
-78.0,79,52.740171
-93.0,94,52.803171
-91.0,92,52.872252
-76.0,77,52.93768
-167.0,168,53.071473
-355.0,356,55.232284
-120.0,121,55.335184
-111.0,112,55.420184
-87.0,88,55.484326
-95.0,96,55.565514
-96.0,97,55.632207
-80.0,81,55.698491
-104.0,105,55.775431
-136.0,137,55.873445
-86.0,87,55.933306
-78.0,79,55.999946
-193.0,194,56.148461
-109.0,110,56.243469
-95.0,96,56.325396
-95.0,96,56.392327
-118.0,119,56.507903
-83.0,84,56.598492
-88.0,89,56.667434
-101.0,102,56.746273
-82.0,83,56.806191
-95.0,96,58.759962
-92.0,93,58.832582
-102.0,103,58.918854
-68.0,69,58.971413
-71.0,72,59.02138
-108.0,109,59.109343
-83.0,84,59.172194
-84.0,85,59.236362
-101.0,102,59.319224
-81.0,82,59.374512
-65.0,66,59.429249
-72.0,73,59.480525
-93.0,94,59.554259
-118.0,119,59.638822
-93.0,94,59.714291
-70.0,71,59.768542
-72.0,73,59.817362
-74.0,75,59.873259
-102.0,103,59.954518
-82.0,83,60.013308
-104.0,105,60.097503
-80.0,81,60.164423
-63.0,64,60.211123
-81.0,82,60.283321
-79.0,80,62.235914
-88.0,89,62.311365
