#{"t_start": 1768429459.5225291, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.530123
-500.0,500,0.956126
-500.0,500,1.372085
-500.0,500,1.815239
-500.0,500,3.500052
-500.0,500,3.853402
-500.0,500,4.268384
-500.0,500,4.630205
-360.0,361,6.315269
-500.0,500,6.721936
-500.0,500,7.1723
-500.0,500,7.623178
-500.0,500,9.472278
-359.0,360,9.737273
-360.0,361,10.003227
-263.0,264,10.186076
-469.0,470,10.55804
-349.0,350,10.807984
-168.0,169,12.201257
-186.0,187,12.332402
-157.0,158,12.446546
-228.0,229,12.613247
-174.0,175,12.7705
-146.0,147,12.876355
-235.0,236,13.056348
-221.0,222,13.234047
-219.0,220,13.402744
-157.0,158,13.519227
-249.0,250,14.952392
-218.0,219,15.112595
-195.0,196,15.258086
-236.0,237,15.419188
-197.0,198,15.575464
-321.0,322,15.817092
-271.0,272,16.012243
-228.0,229,16.173527
-160.0,161,16.282691
-195.0,196,17.712793
-240.0,241,17.895282
-176.0,177,18.023084
-179.0,180,18.14945
-182.0,183,18.272346
-194.0,195,18.429522
-348.0,349,18.678507
-184.0,185,18.816141
-242.0,243,19.000229
-182.0,183,19.137177
-187.0,188,20.591868
-496.0,497,20.956038
-237.0,238,21.128193
-168.0,169,21.248033
-303.0,304,21.499348
-143.0,144,21.604985
-258.0,259,21.78009
-500.0,500,23.414666
-231.0,232,23.59737
-146.0,147,23.703627
-180.0,181,23.836301
-149.0,150,23.947842
-167.0,168,24.069487
-127.0,128,24.160216
-234.0,235,24.31815
-195.0,196,24.462161
-181.0,182,24.584243
-143.0,144,24.688153
-140.0,141,26.07584
-201.0,202,26.239164
-171.0,172,26.356469
-134.0,135,26.453332
-267.0,268,26.645295
-266.0,267,26.828131
-186.0,187,26.967407
-165.0,166,27.096412
-149.0,150,27.205427
-149.0,150,27.316184
-243.0,244,27.502742
-136.0,137,28.893925
-154.0,155,29.00519
-165.0,166,29.115234
-159.0,160,29.233149
-139.0,140,29.336488
-129.0,130,29.431219
-135.0,136,29.532515
-112.0,113,29.610308
-127.0,128,29.724431
-128.0,129,29.803219
-186.0,187,29.949295
-136.0,137,30.03935
-119.0,120,30.128929
-153.0,154,30.241269
-128.0,129,31.566115
-126.0,127,31.668148
-157.0,158,31.783425
-129.0,130,31.869384
-121.0,122,31.953119
-93.0,94,32.039228
-143.0,144,32.152857
-107.0,108,32.226567
-88.0,89,32.291404
-133.0,134,32.387256
-117.0,118,32.475049
-121.0,122,32.566333
-120.0,121,32.64937
-197.0,198,32.804661
-149.0,150,32.913563
-207.0,208,33.066334
-99.0,100,34.424073
-122.0,123,34.526797
-157.0,158,34.635431
-122.0,123,34.724243
-148.0,149,34.825275
-123.0,124,34.913719
-114.0,115,34.990614
-167.0,168,35.109427
-124.0,125,35.202426
-121.0,122,35.290611
-118.0,119,35.376352
-121.0,122,35.46757
-130.0,131,35.553248
-124.0,125,35.644705
-118.0,119,35.739516
-134.0,135,37.136681
-154.0,155,37.260552
-133.0,134,37.360568
-134.0,135,37.450405
-190.0,191,37.58263
-126.0,127,37.677517
-136.0,137,37.776514
-113.0,114,37.871514
-116.0,117,37.958291
-107.0,108,38.037494
-128.0,129,38.12532
-118.0,119,38.220288
-139.0,140,38.322327
-108.0,109,38.392594
-90.0,91,38.503596
-130.0,131,38.598568
-97.0,98,38.667265
-101.0,102,39.999214
-109.0,110,40.086404
-100.0,101,40.16118
-151.0,152,40.267465
-103.0,104,40.337358
-133.0,134,40.433378
-114.0,115,40.523615
-214.0,215,40.717427
-108.0,109,40.788698
-120.0,121,40.876614
-109.0,110,40.964353
-110.0,111,41.048416
-122.0,123,41.129442
-117.0,118,41.216323
-98.0,99,41.289354
-124.0,125,41.384183
-99.0,100,41.449494
-113.0,114,42.774675
-185.0,186,42.918277
-126.0,127,42.998463
-118.0,119,43.08641
-105.0,106,43.167321
-110.0,111,43.254379
-101.0,102,43.317545
-114.0,115,43.400572
-132.0,133,43.504233
-111.0,112,43.591252
-112.0,113,43.670464
-131.0,132,43.756215
-98.0,99,43.830388
-175.0,176,43.956478
-134.0,135,44.054418
-220.0,221,45.549736
-107.0,108,45.640437
-109.0,110,45.721771
-118.0,119,45.806172
-94.0,95,45.87458
-124.0,125,45.954378
-109.0,110,46.03839
-123.0,124,46.13435
-100.0,101,46.203528
-94.0,95,46.268372
-124.0,125,46.361405
-111.0,112,46.443575
-113.0,114,46.530566
-138.0,139,46.624301
-121.0,122,46.706516
-117.0,118,46.828868
-99.0,100,46.896358
-111.0,112,46.979457
-99.0,100,48.284484
-88.0,89,48.354465
-150.0,151,48.459628
-98.0,99,48.528023
-113.0,114,48.612384
-203.0,204,48.824202
-186.0,187,48.946612
-110.0,111,49.028775
-118.0,119,49.108493
-140.0,141,49.210801
-107.0,108,49.291426
-123.0,124,49.381754
-112.0,113,49.457303
-90.0,91,49.518485
-110.0,111,49.600278
-123.0,124,49.68543
-112.0,113,49.75666
-109.0,110,51.125674
-151.0,152,51.246388
-96.0,97,51.307026
-117.0,118,51.391512
-96.0,97,51.465499
-197.0,198,51.610785
-107.0,108,51.696369
-95.0,96,51.76151
-85.0,86,51.828627
-94.0,95,51.90068
-198.0,199,52.0446
-109.0,110,52.128362
-123.0,124,52.219579
-120.0,121,52.297653
-100.0,101,52.369549
-126.0,127,52.463376
-108.0,109,52.549685
-153.0,154,53.943033
-131.0,132,54.043317
-100.0,101,54.115486
-113.0,114,54.209716
-87.0,88,54.272588
-126.0,127,54.366109
-113.0,114,54.452385
-94.0,95,54.525877
-123.0,124,54.617101
-95.0,96,54.687066
-119.0,120,54.775452
-117.0,118,54.872601
-104.0,105,54.958491
-196.0,197,55.090636
-114.0,115,55.177915
-99.0,100,55.24651
-129.0,130,55.340381
-95.0,96,56.668133
-111.0,112,56.754685
-92.0,93,56.831589
-98.0,99,56.892052
